cust_id	cust_name
c00827817	clear picture corporation
c00847979	persona communications
c00890809	mts internet
c00890814	mts internet
c00890822	mts internet
c00890826	mts internet
c00890909	mts internet
c00907331	mts internet
c00907334	mts internet
c00907380	mts internet
c00916013	quality hotel
c00918370	voice&data systems inc
c00942205	dependable it
c00951464	mts internet
c00969485	inter.net canada ltd.
c00973514	videotron ltee
c00973608	videotron ltee
c00973657	videotron ltee
c00973659	videotron ltee
c00973692	videotron ltee
c00973743	videotron ltee
c00973803	videotron ltee
c00974237	videotron ltee
c00974239	videotron ltee
c01018187	sympatico hse
c01072772	bell sympatico
c01081186	canada post corp.
c01081205	canada post corp.
c01081217	canada post corp.
c01081255	canada post corp.
c01081285	canada post corp.
c01081303	canada post corp.
c01081311	canada post corp.
c01081364	canada post corp.
c01081370	canada post corp.
c01081378	canada post corp.
c01081382	canada post corp.
c01081427	canada post corp.
c01081465	canada post corp.
c01081492	canada post corp.
c01081503	canada post corp.
c01081522	canada post corp.
c01081550	canada post corp.
c01081556	canada post corp.
c01081573	canada post corp.
c01081589	canada post corp.
c01081609	canada post corp.
c01081630	canada post corp.
c01081648	canada post corp.
c01081650	canada post corp.
c01081658	canada post corp.
c01081665	canada post corp.
c01089253	vocalscape
c01110189	caspian information systems
c01114705	videotron ltee
c01114714	videotron ltee
c01114745	videotron ltee
c01138344	burlington convention centre
c01181286	cima + s.e.n.c.
c01197349	videotron ltee
c01197391	videotron ltee
c01199793	videotron ltee
c01199806	videotron ltee
c01199846	videotron ltee
c01218312	sympatico hse
c01228278	midwest wireless highspeed ltd
c01228282	delta dccnet high speed internet
c01228311	delta dccnet high speed internet
c01296948	videotron ltee
c01297114	videotron ltee
c01297141	videotron ltee
c01297143	videotron ltee
c01297221	videotron ltee
c01297266	videotron ltee
c01297333	videotron ltee
c01297337	videotron ltee
c01297340	videotron ltee
c01297366	videotron ltee
c01297389	videotron ltee
c01297395	videotron ltee
c01297413	videotron ltee
c01297568	videotron ltee
c01300999	multicraft imports inc.
c01301193	storm internet services
c01310170	sympatico hse
c01328354	videotron ltee
c01328381	videotron ltee
c01328421	videotron ltee
c01328435	videotron ltee
c01328440	videotron ltee
c01328573	videotron ltee
c01328655	videotron ltee
c01338241	videotron ltee
c01343180	ccroute inc.
c01343183	ccroute inc.
c01350312	cyber beach communications
c01363112	principle
c01363250	firesnacks, inc
c01385977	vastcom
c01387068	calgah systemes informatiques
c01390447	videotron ltee
c01392287	system access solution
c01409348	internet lake simcoe
c00001618	export development organization
c00001979	weldwood of canada limited
c00002003	weldwood of canada limited
c00002020	weldwood of canada limited
c00008127	the last minute club
c00010741	intracorp
c00013307	rabourn company
c00027687	lightrealm communications
c00027689	lightrealm communications
c00039902	videotron ltee
c00040206	videotron ltee
c00040207	videotron ltee
c00060419	videotron ltee
c00060459	lightrealm
c00061088	videotron ltee
c00083720	bell nexxia (anx)
c00085322	videotron ltee
c00085342	videotron ltee
c00085353	videotron ltee
c00085360	videotron ltee
c00085383	videotron ltee
c00091767	videotron ltee
c00104814	videotron ltee
c00104829	videotron ltee
c00104867	videotron ltee
c00105166	videotron ltee
c00111254	storm internet services
c00129900	videotron ltee
c00129928	videotron ltee
c00129931	videotron ltee
c00129963	videotron ltee
c00129971	videotron ltee
c00130006	videotron ltee
c00130205	videotron ltee
c00135345	united travels
c00147399	videotron ltee
c00148462	videotron ltee
c00148481	videotron ltee
c00156597	videotron ltee
c00169391	nsi web corporation
c00181573	rogers telecom inc.
c00202089	videotron ltee
c00202090	videotron ltee
c00202094	videotron ltee
c00202098	videotron ltee
c00202723	videotron ltee
c00203492	keynetz
c00218222	videotron ltee
c00243477	waters limited
c00375260	rogers cable inc. nmkt
c00477765	ahw 9002 holdings ltd
c00477870	paul merrick architects ltd.
c00477998	corel corporation
c00478212	rogers cable inc. cambr
c00501939	multiboard communications inc
c00503785	videotron ltee
c00503792	videotron ltee
c00503823	videotron ltee
c00503824	videotron ltee
c00503829	videotron ltee
c00503850	videotron ltee
c00503869	videotron ltee
c00503901	videotron ltee
c00503950	videotron ltee
c00506566	videotron ltee
c00506574	videotron ltee
c00506663	videotron ltee
c00506668	videotron ltee
c00506734	videotron ltee
c00506741	videotron ltee
c00507007	videotron ltee
c00507008	videotron ltee
c00507389	videotron ltee
c00507395	videotron ltee
c00517502	videotron ltee
c00517504	videotron ltee
c00517692	highlight investments inc.
c00631346	videotron ltee
c00631381	videotron ltee
c00639995	videotron ltee
c00695099	cyber beach communications
c00707598	zim technologies
c00710923	bell canada
c00750678	bell canada web site hosting
c00753034	sympatico hse
c00796355	elecmail news bronze systems and technologies inc
c00806337	videotron ltee
c00806344	videotron ltee
c00806356	videotron ltee
c00806383	videotron ltee
c00806403	videotron ltee
c00806444	videotron ltee
c00806478	videotron ltee
c00806481	videotron ltee
c00808719	doug marshall motor city(2000) ltd.,
c00890850	mts internet
c00907332	mts internet
c00907338	mts internet
c00907346	mts internet
c00907369	mts internet
c00946442	reseau convergia
c00973523	videotron ltee
c00973547	videotron ltee
c00973562	videotron ltee
c00973575	videotron ltee
c00973588	videotron ltee
c00973698	videotron ltee
c00973703	videotron ltee
c00973716	videotron ltee
c00973741	videotron ltee
c00973763	videotron ltee
c00973836	videotron ltee
c00973850	videotron ltee
c00987357	sympatico hse
c01024233	sympatico hse
c01030827	ralcom whitecourt
c01039473	agnitio networks
c01075088	persona communications
c01076675	sb hosting solutions llc
c01080974	canadian environmental assessment agency
c01081189	canada post corp.
c01081193	canada post corp.
c01081247	canada post corp.
c01081258	canada post corp.
c01081263	canada post corp.
c01081297	canada post corp.
c01081299	canada post corp.
c01081317	canada post corp.
c01081333	canada post corp.
c01081413	canada post corp.
c01081416	canada post corp.
c01081426	canada post corp.
c01081472	canada post corp.
c01081473	canada post corp.
c01081528	canada post corp.
c01081529	canada post corp.
c01081652	canada post corp.
c01081690	canada post corp.
c01081692	canada post corp.
c01081893	royal bank of canada
c01081899	royal bank of canada
c01090060	biffusion.com
c01090252	sonic networks
c01114723	videotron ltee
c01114754	videotron ltee
c01115852	muskoka.com
c01142143	storm internet services
c01160061	sciworth inc.
c01197353	videotron ltee
c01197355	videotron ltee
c01197422	videotron ltee
c01197435	videotron ltee
c01199754	videotron ltee
c01199785	videotron ltee
c01199826	videotron ltee
c01218401	sympatico hse
c01225998	informatique dl inc
c01228286	delta dccnet high speed internet
c01228302	delta dccnet high speed internet
c01237434	nor net communications
c01254870	magma markham
c01260544	sympatico hse
c01291755	sympatico hse
c01291757	sympatico hse
c01296947	videotron ltee
c01296978	videotron ltee
c01296981	videotron ltee
c01297128	videotron ltee
c01297199	videotron ltee
c01297222	videotron ltee
c01297302	videotron ltee
c01297324	videotron ltee
c01297325	videotron ltee
c01297428	videotron ltee
c01297446	videotron ltee
c01297455	videotron ltee
c01297476	videotron ltee
c01297486	videotron ltee
c01297510	videotron ltee
c01297548	videotron ltee
c01297574	videotron ltee
c01328392	videotron ltee
c01328413	videotron ltee
c01328549	videotron ltee
c01328680	videotron ltee
c01341644	bluewater tv cable, limited
c01350347	cyber beach communications
c01359388	videotron ltee
c01359417	videotron ltee
c01359423	videotron ltee
c01359500	videotron ltee
c01359537	videotron ltee
c01359538	videotron ltee
c00001616	export development organization
c00001628	export development organization
c00002008	weldwood of canada limited
c00002026	weldwood of canada limited
c00003512	corporate computers inc
c00003574	bell sygma systems management inc
c00012651	gtis
c00014202	gtis
c00027646	gmw net
c00027851	esc inc.
c00027863	lightrealm communications
c00039753	videotron ltee
c00061062	videotron ltee
c00061076	videotron ltee
c00061096	videotron ltee
c00061111	videotron ltee
c00082997	nexxia suites
c00085347	videotron ltee
c00091765	videotron ltee
c00094353	nexxia suites
c00104790	videotron ltee
c00104832	videotron ltee
c00104855	videotron ltee
c00104881	videotron ltee
c00104887	videotron ltee
c00111871	bell nexxia (billing.com)
c00129910	videotron ltee
c00129919	videotron ltee
c00129996	videotron ltee
c00142791	nsi=20
c00147365	videotron ltee
c00147369	videotron ltee
c00147380	videotron ltee
c00147434	videotron ltee
c00156596	videotron ltee
c00158570	videotron ltee
c00170309	videotron ltee
c00170327	videotron ltee
c00177706	videotron ltee
c00177990	cidc (haute vitesse)
c00178023	rogers telecom inc.
c00185162	rogers telecom inc.
c00202708	videotron ltee
c00224227	videotron ltee
c00226150	videotron ltee
c00230595	intact financial corporation
c00236774	mts internet
c00238999	nexxia ip prov
c00428114	chimo equipment
c00444760	partner solutions inc.
c00473487	persona communications inc.
c00503842	videotron ltee
c00503860	videotron ltee
c00506583	videotron ltee
c00506642	videotron ltee
c00506669	videotron ltee
c00506672	videotron ltee
c00506686	videotron ltee
c00506693	videotron ltee
c00506697	videotron ltee
c00507006	videotron ltee
c00507304	videotron ltee
c00507342	videotron ltee
c00507383	videotron ltee
c00517510	videotron ltee
c00531657	bell canada - david egerland i. m.
c00617272	fibrewired burlington
c00631373	videotron ltee
c00631387	videotron ltee
c00645452	virtual wave
c00664293	cartier partners financial group
c00669320	wiband communications
c00690422	videotron ltee
c00690426	videotron ltee
c00690433	videotron ltee
c00690442	videotron ltee
c00701909	steel workers dental
c00738409	rogers cable inc. mtwd
c00740630	unitz online inc.
c00740639	unitz online inc.
c00780245	infinite media corp
c00782134	cronomagic canada inc.
c00790453	skyytel ltd.
c00796641	sendrite silver information systems
c00806339	videotron ltee
c00806386	videotron ltee
c00806436	videotron ltee
c00806442	videotron ltee
c00806443	videotron ltee
c00806446	videotron ltee
c00806453	videotron ltee
c00806485	videotron ltee
c00814378	aryntel madoc
c00879690	csn
c00890849	mts internet
c00890851	mts internet
c00906251	sympatico hse
c00907333	mts internet
c00907336	mts internet
c00909855	mts internet
c00922805	gsm design
c00929963	wetaskiwin cpe
c00933555	cidc internal use
c00969488	inter.net canada ltd.
c00973617	videotron ltee
c00973645	videotron ltee
c00973742	videotron ltee
c00973749	videotron ltee
c00973762	videotron ltee
c00973783	videotron ltee
c00973822	videotron ltee
c00973826	videotron ltee
c00973833	videotron ltee
c00973840	videotron ltee
c00973887	videotron ltee
c00973919	videotron ltee
c01024232	sympatico hse
c01033168	sympatico hse
c01040876	rogers cable inc. mtwd
c01057029	sympatico hse
c01057035	sympatico hse
c01081224	canada post corp.
c01081226	canada post corp.
c01081254	canada post corp.
c01081279	canada post corp.
c01081284	canada post corp.
c01081289	canada post corp.
c01081337	canada post corp.
c01081339	canada post corp.
c01081369	canada post corp.
c01081374	canada post corp.
c01081387	canada post corp.
c01081395	canada post corp.
c01081403	canada post corp.
c01081447	canada post corp.
c01081478	canada post corp.
c01081495	canada post corp.
c01081506	canada post corp.
c01081523	canada post corp.
c01081546	canada post corp.
c01081564	canada post corp.
c01081571	canada post corp.
c01081592	canada post corp.
c01081593	canada post corp.
c01081610	canada post corp.
c01081654	canada post corp.
c01081686	canada post corp.
c01090214	winnipeg sun
c01114689	videotron ltee
c01114738	videotron ltee
c01116715	spot solutions
c01131150	rhoann enterprises ltd
c01142007	joe computer
c01155224	cogeco cable canada inc.
c01165556	toronto french school
c01167555	sympatico hse
c01197386	videotron ltee
c01197426	videotron ltee
c01199729	videotron ltee
c01199748	videotron ltee
c01199810	videotron ltee
c01228214	coast dccnet high speed internet
c01228780	delta dccnet high speed internet
c01281478	enmax envision inc.
c01297060	videotron ltee
c01297073	videotron ltee
c01297100	videotron ltee
c01297139	videotron ltee
c01297206	videotron ltee
c01297210	videotron ltee
c01297247	videotron ltee
c01297440	videotron ltee
c01297450	videotron ltee
c01297469	videotron ltee
c01297590	videotron ltee
c01328408	videotron ltee
c01328430	videotron ltee
c01328446	videotron ltee
c01328644	videotron ltee
c01333685	videotron ltee
c01343188	ccroute inc.
c01350348	cyber beach communications
c01351146	cyber beach communications
c01359428	videotron ltee
c01360674	titan it
c01369451	business objects
c01370351	sympatico hse
c01451389	versatile mobile systems
c01453079	modern digital communication inc.
c01454338	1569565 ontario ltd - servitor training services-service
c01469310	cyber beach communications
c01470459	sympatico hse
c01359540	videotron ltee
c01390440	videotron ltee
c01390458	videotron ltee
c01410611	sympatico hse
c01422039	spm telecom
c01423102	kingston honda
c01433797	isp atlantic inc.
c01439494	group telecom
c01439525	group telecom
c01444156	group telecom
c01453263	gb integrated digital media
c01470467	sympatico hse
c01474519	vif st-hubert
c01477267	cyber beach communications
c01483528	kix media
c01508722	sympatico
c01508724	sympatico
c01508740	sympatico
c01508787	sympatico
c01508795	sympatico
c01508807	sympatico
c01509561	sympatico
c01516686	technologies remote networks
c01532238	2ic systems inc.
c01533036	purdy's chocolates
c01546919	videotron ltee
c01546957	videotron ltee
c01547001	videotron ltee
c01547006	videotron ltee
c01547080	videotron ltee
c01547134	videotron ltee
c01547137	videotron ltee
c01547226	videotron ltee
c01547295	videotron ltee
c01547296	videotron ltee
c01550059	pico quantitative trading
c01569175	rogers cable inc. wlfdle
c01569210	rogers cable inc. wlfdle
c01571472	bell mobility
c01575049	stargate connections inc. (e-mail hosting)
c01583004	sympatico hse
c01613694	rogers cable inc. qcmtl
c01656484	sympatico hse
c01657535	magma communications ltd
c01657591	magma communications ltd
c01765534	videotron ltee
c01765554	videotron ltee
c01765558	videotron ltee
c01765560	videotron ltee
c01765723	videotron ltee
c01765739	videotron ltee
c01765755	videotron ltee
c01765778	videotron ltee
c01765786	videotron ltee
c01765849	videotron ltee
c01765862	videotron ltee
c01765871	videotron ltee
c01765935	videotron ltee
c01766217	videotron ltee
c01766257	videotron ltee
c01776526	parta solutions durables inc.
c01777138	navigator multimedia inc.
c01828896	sympatico hse
c01844422	radiant vancouver
c01847386	videotron ltee
c01847400	videotron ltee
c01847418	videotron ltee
c01847527	videotron ltee
c01847584	videotron ltee
c01879336	sympatico hse
c01888369	cryptologic
c01902213	online auction.com
c01903998	inorm
c01910831	k t tran
c01912848	iweb dedicated hd
c01923097	cndf
c01935191	bell canada
c01935193	bell canada
c01936888	iweb dedicated cl2
c01942809	cognos networks
c01948033	the tdl group corp (tim hortons) - us sites - hardware only acct
c01957764	1479010 ontario incorporated
c01960896	sympatico hse
c02003164	sympatico hse
c02015485	videotron ltee
c02021255	telesat canada
c02058965	city of ottawa (it)
c02082523	the tdl group corp (tim hortons) - ontario sites
c02082674	connections canada inc.
c02100955	sympatico hse
c02101802	gridwerke corporation
c02103597	bit01 inc.
c02113444	netnucleus usa inc
c02113526	r. merlo estate vineyards
c02113642	cebas visual technology inc
c02113818	blejan andrei
c02114708	rocketforcemedia
c02132132	second cup headquarters
c02133936	acn digital phone service
c02136629	hypertec systemes inc
c02136650	natrix
c02138624	rogers cable inc. mtmk
c02138642	rogers cable inc. bloor
c02138684	rogers cable inc. ajax
c02138777	rogers cable inc. bawk
c02138801	rogers cable inc. bawk
c02138834	rogers cable inc. hnsn
c02138861	rogers cable inc. hnsn
c02138870	rogers cable inc. hnsn
c02138892	rogers cable inc. hnsn
c02138896	rogers cable inc. hnsn
c02138918	rogers cable inc. hnsn
c02138952	rogers cable inc. hnsn
c02138972	rogers cable inc. clwd
c02138997	rogers cable inc. flfrd
c02139042	rogers cable inc. nbfb
c02139044	rogers cable inc. nbfb
c02139058	rogers cable inc. ktgc
c02139070	rogers cable inc. ktgc
c02139091	rogers cable inc. ktgc
c02139159	rogers cable inc. grnsbr
c02139164	rogers cable inc. grnsbr
c02139217	rogers cable inc. grnsbr
c02139241	rogers cable inc. glph2
c02139270	rogers cable inc. brntfd
c02139277	rogers cable inc. brntfd
c02139312	rogers cable inc. lndn
c02139341	rogers cable inc. lndn
c02139345	rogers cable inc. lndn
c02139355	rogers cable inc. lndn
c02139365	rogers cable inc. lndn
c02139380	rogers cable inc. lndn
c02139411	rogers cable inc. mtmk
c02139419	rogers cable inc. mtmk
c02139427	rogers cable inc. mtmk
c02139457	rogers cable inc. mtmk
c02139458	rogers cable inc. mtmk
c02139470	rogers cable inc. mtmc
c02139580	rogers cable inc. mrmch
c02139584	rogers cable inc. nbmn
c02139607	rogers cable inc. nbmn
c02139618	rogers cable inc. mtnk
c02139620	rogers cable inc. mtnk
c02139661	rogers cable inc. mtnk
c02139731	rogers cable inc. baol
c02139757	rogers cable inc. rchrd
c02139768	rogers cable inc. rchrd
c02139804	rogers cable inc. slnt
c02139808	rogers cable inc. slnt
c02139810	rogers cable inc. slnt
c02139818	rogers cable inc. slnt
c02139937	rogers cable inc. pr
c02140081	rogers cable inc. etob
c02140083	rogers cable inc. etob
c02140105	rogers cable inc. nfsj
c02140122	rogers cable inc. wlfdle
c02140155	rogers cable inc. wlfdle
c02140243	rogers cable inc. wlfdle
c02140305	rogers cable inc. wdstck1
c02140312	rogers cable inc. wdstck1
c02140325	rogers cable inc. ym
c02140354	rogers cable inc. ym
c02140383	rogers cable inc. ym
c02140394	rogers cable inc. ym
c02140403	rogers cable inc. ym
c02140410	rogers cable inc. ym
c02140419	rogers cable inc. ym
c02148570	private customer
c02157042	sympatico hse
c02169999	private customers - ptp broadband
c02170003	rogers cable inc. bloor
c02170077	rogers cable inc. bloor
c02170078	rogers cable inc. bloor
c02170093	rogers cable inc. bloor
c02170110	rogers cable inc. bloor
c02170129	rogers cable inc. bloor
c02170189	rogers cable inc. bloor
c02170203	rogers cable inc. bloor
c02170240	rogers cable inc. bloor
c02170256	rogers cable inc. bloor
c02170265	rogers cable inc. bloor
c02170274	rogers cable inc. bloor
c00002006	weldwood of canada limited
c00002023	weldwood of canada limited
c00002841	mcmillan bathurst
c00002842	mcmillan bathurst
c00003592	bell sygma systems management inc
c00010846	cls inc.
c00012623	gtis
c00012626	gtis
c00012632	gtis
c00012658	gtis
c00016871	ica canada on-line
c00026552	world choice travel
c00027653	integrated visual concepts
c00047490	lightrealm, inc.
c00061060	videotron ltee
c00104827	videotron ltee
c00104837	videotron ltee
c00104871	videotron ltee
c00129934	videotron ltee
c00129937	videotron ltee
c00129969	videotron ltee
c00129984	videotron ltee
c00130206	videotron ltee
c00147422	videotron ltee
c00148502	videotron ltee
c00148504	videotron ltee
c00149995	acd systems international
c00153391	wynford asf lan infrastructure
c00156601	videotron ltee
c00165924	videotron ltee
c00170300	videotron ltee
c00178120	web2010
c00179571	virtual scape
c00188485	velocet
c00288365	mindbytes consulting inc.
c00294792	laurier homes
c00332265	olrt constructors
c00402247	rush communications
c00433790	fibrewired burlington hydro
c00440050	stevencarpenter.com
c00458748	ordinate
c00496449	videotron ltee
c00503853	videotron ltee
c00503857	videotron ltee
c00503872	videotron ltee
c00506590	videotron ltee
c00506691	videotron ltee
c00506700	videotron ltee
c00506725	videotron ltee
c00506756	videotron ltee
c00507003	videotron ltee
c00507316	videotron ltee
c00507343	videotron ltee
c00507358	videotron ltee
c00507374	videotron ltee
c00512414	compusult ltd.
c00531674	bell canada - david egerland i. m.
c00534439	sprint corp. / yahoo canada
c00612429	conair consumer products inc
c00631398	videotron ltee
c00631404	videotron ltee
c00633111	ravanda cybertech
c00633112	ravanda cybertech
c00637376	rogers cable inc. cambr
c00640003	videotron ltee
c00659683	direct energy
c00663553	brunnet inc.
c00671567	peer1 internet bandwidth
c00690438	videotron ltee
c00731028	datawave services canada inc.
c00737669	bellcanada - end2end
c00768576	bellcanada - end2end
c00796929	ardicom
c00806448	videotron ltee
c00806495	videotron ltee
c00828212	the paper experts inc.
c00890902	mts internet
c00900331	internet light and power inc.
c00900508	internet light and power inc.
c00900872	bellcanada end2end
c00911062	thunder bay hydro
c00949732	zy mos
c00961585	stargate connections inc. adsl 100
c00973552	videotron ltee
c00973593	videotron ltee
c00973600	videotron ltee
c00973622	videotron ltee
c00973646	videotron ltee
c00973666	videotron ltee
c00973675	videotron ltee
c00973682	videotron ltee
c00973685	videotron ltee
c00973721	videotron ltee
c00973764	videotron ltee
c00973801	videotron ltee
c00973834	videotron ltee
c00973874	videotron ltee
c00973884	videotron ltee
c00973894	videotron ltee
c00973897	videotron ltee
c00973972	videotron ltee
c00973978	videotron ltee
c00979705	wainwright cpe
c00987360	sympatico hse
c01031811	clearstream internet inc.
c01033167	sympatico hse
c01037839	sympatico hse
c01057036	sympatico hse
c01063121	wisper technologies
c01068408	persona communications
c01080973	correctional services canada (net-cdagovn-c110)
c01081183	canada post corp.
c01081194	canada post corp.
c01081265	canada post corp.
c01081310	canada post corp.
c01081353	canada post corp.
c01081363	canada post corp.
c01081366	canada post corp.
c01081397	canada post corp.
c01081399	canada post corp.
c01081417	canada post corp.
c01081439	canada post corp.
c01081452	canada post corp.
c01081466	canada post corp.
c01081497	canada post corp.
c01081582	canada post corp.
c01081596	canada post corp.
c01081678	canada post corp.
c01133760	persona communications inc.
c01141490	canadian bar association
c01171178	sympatico hse
c01180446	aitx railcar services
c01188765	akwesasne internet services
c01197354	videotron ltee
c01197369	videotron ltee
c01197374	videotron ltee
c01199735	videotron ltee
c01199800	videotron ltee
c01199803	videotron ltee
c01226495	2072440 ontario inc.
c01237226	delta chelsea hotel
c01237364	wiband communications
c01237368	community networks
c01241072	sympatico hse
c01259739	sympatico hse
c01272162	nebularis information systems inc.
c01297201	videotron ltee
c01297212	videotron ltee
c01297216	videotron ltee
c01297237	videotron ltee
c01297249	videotron ltee
c01297344	videotron ltee
c01297459	videotron ltee
c01297460	videotron ltee
c01297463	videotron ltee
c01297472	videotron ltee
c01297479	videotron ltee
c01297523	videotron ltee
c01297551	videotron ltee
c01297595	videotron ltee
c01307598	harmony mobile
c01328619	videotron ltee
c01329426	videotron ltee
c01329429	videotron ltee
c01333630	videotron ltee
c01351151	cyber beach communications
c01359393	videotron ltee
c01359505	videotron ltee
c01370188	sky cable
c01383988	searchanyway
c01390457	videotron ltee
c01439493	group telecom
c01439497	group telecom
c01439511	group telecom
c01452995	hok nik creative
c01464498	tcn systems
c01470465	sympatico hse
c01473958	cesart
c01503911	huron telecommunications co-operative limited
c01509625	sympatico
c01516831	sympatico hse
c01517737	sympatico hse
c01520605	2069572 ontario ltd
c01522677	fci broadband - dynamic residential ip pool
c01532974	metrobridge networks corporation
c01533560	nexicom inc.
c01547009	videotron ltee
c01547024	videotron ltee
c01547110	videotron ltee
c01547112	videotron ltee
c01547123	videotron ltee
c01547193	videotron ltee
c02170321	rogers cable inc. bloor
c02170341	rogers cable inc. bloor
c02170348	rogers cable inc. bloor
c02170355	rogers cable inc. bloor
c02170362	rogers cable inc. bloor
c02170393	rogers cable inc. ajax
c02170406	rogers cable inc. ajax
c02170425	rogers cable inc. ajax
c02170430	rogers cable inc. ajax
c02170447	rogers cable inc. ajax
c02170457	rogers cable inc. ajax
c02170465	rogers cable inc. ajax
c02170484	rogers cable inc. ajax
c02170491	rogers cable inc. ajax
c02170496	rogers cable inc. ajax
c02170501	rogers cable inc. ajax
c02170509	rogers cable inc. ajax
c02170541	rogers cable inc. baal
c02170616	rogers cable inc. bawk
c02170617	rogers cable inc. bawk
c02170631	rogers cable inc. bawk
c02170635	rogers cable inc. bawk
c02170671	rogers cable inc. hnsn
c02170678	rogers cable inc. hnsn
c02170692	rogers cable inc. hnsn
c02170694	rogers cable inc. hnsn
c02170696	rogers cable inc. hnsn
c02170728	rogers cable inc. hnsn
c02170752	rogers cable inc. hnsn
c02170773	rogers cable inc. hnsn
c02170786	rogers cable inc. hnsn
c02170811	rogers cable inc. hnsn
c02170844	rogers cable inc. flfrd
c02170859	rogers cable inc. flfrd
c02170899	rogers cable inc. flfrd
c02170928	rogers cable inc. flfrd
c02170978	rogers cable inc. nbfb
c02170993	rogers cable inc. ktgc
c02170999	rogers cable inc. ktgc
c02171013	rogers cable inc. ktgc
c02171037	rogers cable inc. ktgc
c02171110	rogers cable inc. ktgc
c02171111	rogers cable inc. ktgc
c02171139	rogers cable inc. ktgc
c02171145	rogers cable inc. ktgc
c02171204	rogers cable inc. grnsbr
c02171222	rogers cable inc. grnsbr
c02171358	rogers cable inc. grnsbr
c02171361	rogers cable inc. ym
c02171381	rogers cable inc. grnsbr
c02171386	rogers cable inc. grnsbr
c02171401	rogers cable inc. grnsbr
c02171454	rogers cable inc. hnsn
c02171483	rogers cable inc. brntfd
c02171493	rogers cable inc. brntfd
c02171520	rogers cable inc. brntfd
c02171549	rogers cable inc. lndn
c02171575	rogers cable inc. lndn
c02171640	rogers cable inc. lndn
c02171683	rogers cable inc. lndn
c02171699	rogers cable inc. lndn
c02171747	rogers cable inc. lndn
c02171762	rogers cable inc. lndn
c02171869	rogers cable inc. mtmk
c02172006	rogers cable inc. mtmc
c02172008	rogers cable inc. mtmc
c02172012	rogers cable inc. mtmc
c02172049	rogers cable inc. mtmc
c02172062	rogers cable inc. mtmc
c02172089	rogers cable inc. mtmc
c02172109	rogers cable inc. mtmc
c02172201	rogers cable inc. flfrd
c02172255	rogers cable inc. clwd
c02172278	rogers cable inc. clwd
c02172332	rogers cable inc. clwd
c02172333	rogers cable inc. hnsn
c02172355	rogers cable inc. hnsn
c02172361	rogers cable inc. hnsn
c02172368	rogers cable inc. flfrd
c02172372	rogers cable inc. hnsn
c02172412	rogers cable inc. nwdn
c02172422	rogers cable inc. nwdn
c02172521	rogers cable inc. mtnk
c02172523	rogers cable inc. mtnk
c02172540	rogers cable inc. mtnk
c02172563	rogers cable inc. mtnk
c02172573	rogers cable inc. mtnk
c02172666	rogers cable inc. nmkt2
c02172697	rogers cable inc. nmkt2
c02172725	rogers cable inc. orvl
c02172729	rogers cable inc. orvl
c02172759	rogers cable inc. rchrd
c02172796	rogers cable inc. rchrd
c02172798	rogers cable inc. rchrd
c02172800	rogers cable inc. rchrd
c02172817	rogers cable inc. rchrd
c02172829	rogers cable inc. rchrd
c02172841	rogers cable inc. rchrd
