org_id	org_name
tstc-10	swift technology
tt-880	taiga telecom inc.
ttmf	triumf (tri-university meson facility)
twu-1	trinity western university
ubcm	union of british columbia municipalities
urbani	urban insight, inc.
usc-2	unity software (canada) inc.
vfl-63	valley fiber ltd.
virl	vancouver island regional library
virtua-2	virtual prototypes inc.
virtua-35	virtual prototypes inc.
vw-82	velox wireless inc.
washin-5	washington corporations
wcrdn3	wolf creek public schools
webcou	web country
wel-3	wrc enterprises ltd
wfml	west fraser mills ltd.
witl	world infobahn technologies ltd.
wlu-1	wilfrid laurier university
wtbtsc	watch tower bible and tract society of canada
yardi-1	yardi systems, inc.
zcc	zenox communications corporation
sshrc	social science and humanities research council
ssisol	ssi solutions
starga	stargate connections
stc-7	stalworth technologies corp.
stsb	state street bank and trust company
ta-143	tatacommunications america inc
tatac-34	tata communications ltd
tce-2	telnet canada enterprises
tegh	toronto east health network
tff	town of fort frances
thearc-1	the arctic group inc.
thegem	the gemini group
trans-259	transera communications, inc.
tse	tsx inc.
tssl-36	total server solutions llc
tu-129	tesonet, uab
ucc-10	university college of the cariboo
univer-212	universal internet
usse	united software service enterprises
vanro	van-rob stampings inc
vbs	victor beitner services
vc-816	vds corp.
vcl-25	vdz consulting ltd
vdl-3	video dery ltee
vsb-1	vancouver school board
wdfn	whitecap dakota first nation
westar	westar
whatb	whatbox inc.
wt-24	wyzdom technologies
4alolis	421554 alberta ltd.  o/a lethbridge internet s
4cimu	4045599 canada inc (managed uptime)
acnco	acn
acs-19	anpis - computer solutions
agilen-2	agilent technologies
al-3013	abtex llc
alroma	alroma scientifique inc.
applep	applepete's inc.
applic	application enhancements
apss	alberta public safety services
asgrow	asgrow canada
atl-2	axiom technologies ltd.
attach	attachmate canada, inc.
auc-11	algoma university college
autod-3	autodata solutions company
awixso	awix software
barewa	barewall.com inc.
bcb	b.c.telephone co. (bctel)
bcce	the banff centre for continuing education
bcsa-4	british columbia safety authority
bdbc-6	business development bank of canada
bdic	bearing distributors international canada inc
blcl-1	beaver lumber company limited
bnfd	beanfield technologies inc.
canad-73	origen
canada	canadair
cc-1592	crystal connections
cdijft	cdijft
cdl-6	college de l'outaouais
cea	canadian electricity association
cfc-2	clouston foods canada
cffs	canadian forces fleet school
chro	choreo systems inc.
ci-1153	aeonex
cibc	canadian imperial bank of commerce
cic-12	columbia international college
cidddl	centre international des droits de la
clockw	clockworx inc.
cnas	cosmos network access & service
cnf	canadian nature federation
cob	capital offence bbs
colleg-17	college delta
commi-2-z	commission scolaire marguerite-bourgeoys
conso-8	consolidated communications, inc.
convi-2	convio, inc.
copr	cooperative de cablodistribution de l'arriere-pays
cpc-3	cd publishing corporation
cronus	cfactor works inc
cso	commission scolaire outaouais-hull
csp-52	centre de services scolaire de la pointe-de-l'ile
cticor	cti corintech inc.
ctt-16	computer talk
cubexl	cubex ltd
cwc-75	city wide communications inc.
cwt	canusa web trading company
cyberc-2	cyberconcept inc.
cybere-9	cyberedit.com
cybert-2	cybertourisme inc.
dcc-138	metaswitch networks corp.
dge-10	elections quebec
dgl-29	dialoga group llc
disl4	dosarrest internet security ltd
dlsc-1	de la salle college
dp-51	dxmx/direct partnership
dprcs	dufferin-peel catholic district school board
dreo-2	defense research establishment ottawa
dsl-5	domus software ltd.
dtl-36	dash tours ltd
easyd-2	easydns technologies, inc.
edc-1	earth day canada
ei-537	ev1 internet
eidcl	epi internet direct of canada ltd.
empres-2	empress software, inc.
enviro-13	environment canada
epbc	eastern pentecostal bible college
esc-6	envision software consultants inc.
esense	e-sense communications inc.
essl-2	elsid software systems ltd.
ewc-56	eastern wireless .ca inc
ezonem	e-zonemedia
fairvi	fairview college
fbl	francois beauregard logiciels inc.
fcl-211	federated cooperatives limited
fgil	fort garry industries ltd
fgl-3	forzani group limited
fm-406	fastel media inc
fordq-1	federal office of regional development of quebec
formal	formal systems inc.
gcc-120	gridway computing corporation
gcl-61	evolveip, llc
gemcom	gemcom services inc.
gfsl-6	clearddos technologies
gwdgl	go web direct group ltd.
gwncon	gwn consultants
hamil-25	hamilton tigercats
health-11	healthware technologies inc.
hmrinc	hmr inc.
homeco-1	@home.com
htl-33	h4y technologies llc
hwntl	hr wireless netware technology ltd
icc-11	internet canada corp.
illus-1	illustrate inc
ingram	ingram micro inc.
inkset	inksetter & associates
inline	inline communications inc.
jc-114	juce communications inc
jga-17	jonah group/345 adeilaid
jri	james richardson international limited
kot	keyword office technologies
lante-2	lantern hill it inc.
lanter	lanternette inc
lcl-263	lambton communications limited
lesse	metrooptic, inc.
libeo	libeo inc.
liqui-22	liquidnet ltd.
liqui-38	liquidnet us llc
living	livingston group inc.
logici-1	logic innovations
logx	logix communications, inc.
majend	majendie securities
maski-3	maskicom
mbs-2	multipath business systems
mca-161	municipality of the county of annapolis
mcsc	mission community skills centre
mcsne	mcsnet
mcu-1	ministry of colleges and universities
mgn-13	maxx global networks inc.
midwe-147	midwest telecom of america inc
miel-1	midwest internet exchange llc
mil-9	macdon industries ltd.
mitrai	mitra imaging inc.
ms-1565	martin selig
msc-231	moneris solutions corporation
mtrl	metropolitan toronto reference library
nac-178	nokia of america corporation
nation-15	national computers
ndp-1	new democratic party
netlin-3	netlink communications
netsal-2	net sales
netwe-1	netwerx
netwo-240	network innovations inc
netwo-417	412 networks inc
nexust	nexus technologies inc.
nhs-28	niagara health system
nis-121	nolimits internet solutions
nomads	nomad s.e.n.c
novali	novalink
novape	nova petrochemicals inc.
nps-119	nbs payment solutions inc.
nrionl	nri on-line inc.
nspg	nova scotia provincial government
nybe	north york board of education
oceanr	oceanroutes canada, inc.
ocs-119	oncore cloud services
octrf	ontario cancer treatment and research foundation
oeg-2	olympia engineering group inc
ofl-11	o-net
oggo	osi group global offices
ontar-35	datablocks, inc
ontar-44	1923327 ontario inc
ori-14	oak ridges internet inc.
otsl-12	oxygen technical services ltd
pacps	prince albert comprehensive and public schools
pcc-16	proxy communications corporation
pcg-4	paradigm consulting group inc
pelmor	pelmorex communications incorporated
pi-985	pratt institute
pizzol	pizzolato enterprises
planix	planix, inc.
pnsi	pnt systems inc
puctc	cochrane telecom services
pureen	pure energy
pvs-20	pacific value services inc
qqs	qsys quality systems
qsl	qbyte services ltd
quadr-42	xlitt
rcc-190	rogers communications canada inc.
regan-1	regan grant
rfnowi	rf now inc.
rms-1	richter management services inc.
sagh	the salvation army grace hospital -
salvat	salvation army
scc-4	supreme court of canada
4webc	4web.ca
9o9oco	9o9o.com
ac-351	altus communications inc.
acaat	algonquin college of applied arts & technology
accen-66	accentus inc.
acl-82	airstream communications, llc
ais-194	abm integrated solutions
albert-7	alberta supernet incorporated
amd	advanced micro devices, inc.
aovtec	aov technologies
as-2506	advicent solutions
asc-12	archimedes systems consulting, inc.
asc-37	adminstrative support center
asl-256	altima telecom
atu-3	avago technologies u.s. inc.
bc-250	bell canada
bcg-2	blake, cassels and grayden
bcqwhis	bell canada quebec wireless home internet service
bes-35	burlington electrcity services inc.
bnlas	bennett, nidata, legare & associates solutions
bns-34	b2 net solutions inc.
bns-34	b2 net solutions inc.
bns-71	b2 net solutions inc.
bns-71	b2 net solutions inc.
brfn	brant freenet
bridge-10	bridgeway corporation
bwsl	beame and whiteside software ltd.
callpr	callpro canada inc.
cb-1273	city of bathurst
ccc-25	convoke communications corp.
ccl-42	cch canadian ltd.
ccs-47	crestline computer solutions inc.
ccs-8	cyberlink computing services
cdcec	centre d'etudes collegiales en charlevoix
cds-26	cegep de saint-laurent
cecl	conwest exploration company ltd.
cfl-176	cvecfiber
cgacan	cga canada
cgbc-1	centra gas british columbia inc.
cineti	cinetic systems
cita	canadian institute for theoretical astrophysics
cityof-39	city of richmond
cityof-50	city of winnipeg
claim-15	claimspro inc
cli	confederation life ins. co.
cma	canadian medical association
coastn	coastnet designs
commun-3	community access, inc.
corelc	corel corporation
crcl-1	the canned reality company ltd.
crd-43	charles river development
crownl	crown life
csc-167	cyberlink systems corp.
csdc-29	canadian shield data center inc
csm-38	commission scolaire marie-victorin
cvdn	cable vdn inc.
cyberl-5	cyberlink online
databo-1	databoss inc
deesco	dees communication
desir-1	desire2learn incorporated
distri	city of coquitlam
dkal	d.h. kumka & associates ltd.
dofasc	dofasco inc.
dowjon-7	dow jones & company, inc.
dpl-144	dendreon pharmaceuticals llc
dtc-7	deloitte & touche, canada
dtieti	dissident technologies integrateur en telecom incorporee
dwv	district of west vancouver
ec-6	edge creative
ecardi	ecard, inc.
ecia	emily carr institute of art and design
eda-9	electricity distributors association
elc	the equitable life insurance company of canada
elu-2	ex libris (usa) inc
esl-1	enterprise solutions limited
fcl-3	faxon canada, ltd.
fdlvdq	federation de la volaille du quebec
ffca	foundation future charter acad
figmen-1	figment technologies
frhi	fairmont raffles hotels international
gmdh	government of manitoba
gocod	gocodeit inc
goy	government of yukon
graybe	gray beverage inc.
gtcsl	general techniques computer systems limited
gtninc	gtn incorporated
hdcei	hdce inc
hfl-2	hostess frito lay
hgjs	hopital general juif smbd
hie-86	atlantic ixps inc.
his-6	helios integrated systems
hns	hughes network systems
hostz-2	hostzone
ht-185	hockey tech
httl-1	hua tian technology co. ltd.
hvh-9	hudson valley host
hyprot	hyprotech ltd
iasl	internet access solutions ltd.
iddm-1	institut de design montreal
ihtc-4	indiana hemophilia and thrombosis center
imic-1	ingram micro inc. (canada)
ineti	inet-interactif inc
infoli-2	info life inc.
intb1	canadata network
intern-15	internet management inc.
intern-37	internet online
inters-10	interstore communications
isil	inly systems international ltd.
itc-14	information technologies of calgary
itl-2	infoserve technology ltd.
jainv	jainv2
jcs-1	jones computer supplies
jewels	jewelstone systems inc.
jot	job oriented training
jrml-1	j.h. ryder machinery limited
jwh-4	wxhosting.com
kihs	kvnet inc - home satellite
kjmand	kjm and associates
kn-5	kontego networks
ksp-1	kelman seismic processing inc.
ktnk	keewaytinook okimakanak
lancee	lance electronics
lca-4	les consultants androide
lcf	fujilink inc.
lgh	lions gate hospital
ll-912	lounsbury company limited
lmtz	les maitres typographes zibra
louvic	louvicourt mine
lr-130	lion resources, inc
marwa	marwan sultan
mc-790	microsoft corporation
mcs-15	motor city software
mds-168	my digital shield, inc.
media-164	mediaplanet
metro-38	metro optic
mfl-2	mccain foods ltd
micro-231	microtec
microc-11	micro centra
mntn	mountain cablevision ltd.
mplcom	mpl communications inc.
muxlab	mux lab inc.
nbc-1	national bank of canada
nc-1185	nerivon
netlin-13	netline 2000
netopi	netopia corporation
netron	netron inc.
nfbc-1	national film board of canada
nil-13	nygard international ltd.
nits	naviss information technology services
nlg-4	nisgaa lisims goverment
nrbnl	niagara regional broadband networks limited
occ-303	online commerce corp
oi-194	oricom internet inc.
okanag-1	okanagan college
ol-378	oc1-cirrus llc
omegan	omega network co.
ontar-18	huntington travel
ora-5	olson research associates
ordina	ordinateurs pmc inc.
orilli	orillia pronet inc.
otmh	oakville trafalgar memorial hospital
pan-22	palo alto networks, inc
petroc	petro-canada
pgnb	provincial government of new brunswick
pgs	peregrine graphics systems
pgwl	paterson, grant & watson, ltd.
pmc-89	pointpub media communications inc.
powerl-5	powerland
pts-4	professional team solutions inc.
pureb-2	purebackend inc
qcc-18	qwest communications company, llc
qlug	quebec's linux users group
quest-51	questrade inc.
rajen	rajendrasingh
rassel	rasselas
rccllc	royal caribbean cruises ltd.
rdmcor	rdm corporation
redib	redi-bag inc
rihsc-1	the hospital for sick children
rubic-3	rubicon holdings inc
sanyoc	sanyo canada inc.
saq-1	societe des alcools du quebec
scc-21	sentex communications corporation
scg-3	sanders consulting group inc.
shanac	shana corporation
1ccc	1990 cybernet communications corporation
abcn	atlantic business connections network
abs-17	alan barclay systems
access-10	access 20/20 inc.
adc-96	ace data centers, inc.
admsi-1	cfbtel
aeminc	a.e.m. inc.
ai-64	a.r.c. informatique inc.
alber-53	1281103 alberta inc.
aliasr-1	alias research inc.
alnico	alnicom consulting co.
amazo	amazon.com
at-9060	atrema technologies inc.
at-9063	adrem technologies
bal	borstad associates ltd.
ballco	ball corporation
bbswi	bbs wireless inc.
bcc-129	baudry cybernomics corp.
bchs-9	bodwell college & high school
bctl	vancouver brokerage community
beanf-3	beanfield technologies inc.
bicedo	bicedo
bigma-1	business information group
btcl-6	brooke telecom cooperative limited
btl-246	box technology llc
buterf	buterfield and robinson
bzinc	bz inc
cameos-z	cameo systems, inc.
camosu-z	camosun college
canad-103	reis information systems
cantax	cantax
canwel	canwel
cc-1177	crawford & company (canada) inc.
cc-711	cv. cybernet
cdmsc	chris danielle micro solutions (cdms) inc.
cds-4	canbook distr. services
ceryx	ceryx, inc.
choice-20	choice 2000
ciul	cnr international (u.k.) limited
cloud14	cloudflare, inc.
cmc-33	canadian museum of civilization
cmdq	club macintosh de quebec inc.
cn-348	ccl networks inc
colleg-3	college lasalle
comsc-20	comscore, inc.
comsty	comstyle associates
cosl-3	continium online services ltd.
cp-1477	the computer place
cpcl	clover point cartographics ltd.
crclc	champlain regionnal college, lennoxville campus
crypt-2	cryptocybernetics
cryst-3	crystal consulting inc.
csdh-1	commission scolaire des hauts-cantons
cts-379	converging technology solutions inc.
cul-1	canadian utilities ltd.
cws-87	casting workbook services inc.
cybers-26	cyberstream inc.
dcb-59	digital commerce bank
dcl-595	dawson construction ltd.
ddl-1	digital design ltee
desig-54	design print outlet
domtar	domtar packaging
dsu-8	doxim
dtb	dominion toronto bank
dva-5	department of veterans affairs
edrodd	ed rodda
efundr-1	e-fundraising.com
emec	empire media et communications
emsinc	ems inc.
ess-20	enterprise systems solutions inc
etl-74	emerge technologies llc.
europ-8	european meats
evolu-7	evolucionperu
ewr-4	platanum
exper-60	experiencepoint inc
facl	fifth avenue collection ltd.
fc-324	fnf canada
fh-236	flatiron health, inc
fondsf-1	fonds fcar
fts-175	0footprint tech services inc
gmc-149	grant macewan university
googl-2	google llc
gover-15	government of newfoundland and labrador, office of the chief information officer
govern-1	government of manitoba
gp-377	groupe precicom inc.
gprc	grande prairie regional college
gwc	gate west communications
hbc-159-z	hsbc bank canada
hcc-13	hookup communications corp.
healt-217	healthpoint
helixi	helix internet
himl	husky injection molding systems ltd.
hipcom	hip communications
hoppe-1	hopper inc.
hs-215	halogen software inc
iad-1	international academy of design
icc-9	iatronet communications corporation
icl-5	imc canada limited
icl-7	intergraph canada ltd
icp	itech computer products
ilsl	intertrans logistivs solutions limited
incont	incontext corporation
intera-13	interactivity inc.
intera-33	interautomation incorporated
interc-14	inter-cable internet inc.
iti-9	information technology integration
its-30	ikon technology services
iwre	interware.net inc.
johnbu-2	john buhler, inc.
js-505	joust security inc.
jvcc	jeff voskamp (computer consultant)
kd	kw datacenter
keyano-2	keyano college
kmh-8	karl morin holdings inc.
knc-7	ktunaxa nation council
lbmf-1	long beach model forests
lcc-9	lethbridge community college
lcjdm	les centres jeunesse de montreal
ldl-13	london drugs limited
liqui-23	liquidnet ltd.
lmg-2	loyalty management group, inc.
lrcm	lightrealm communications
mascm	manitoba agricultural services corporation (masc)
matane	matane college
mcc-118	microsolve computer capital
mcc-215	microage computer centres
mcg-13	metronet communications group inc.
miahs-1	the michener institute for applied health sciences
micfo-2	micfo, llc.
micfo-2	micfo, llc.
mnc-345	mitel networks cloudlink
mondev	monde virtuel inc.
mrc-12	mount royal university
mwcl	micro warehouse canada ltd.
netdir-1	netdirect, inc.
networ-100	network connection
newage	newage electronics
nic-61	nightingale informatix corporation
novav-3	ip4b inc.
nwst	northwestel inc.
ocu-18	orix corporation usa
ol-159	integrated ls3 solutions
ontar-58	synapse data solutions
orano	orion
orcsw	orcs web, inc.
otn-7	ontario telemedicine network
pdsb-1	peel district school board
pellet	pelletier electronics
phc-32	providence health care
pie-1	pacific interconnect enterprises inc.
pjml	parsa janbeglou media ltd.
pncc-3	palau national communications corporation
ponlix	ponlix group
postm2	postmedia network inc
praxai-2	praxair canada inc.
quebe-52	elpc
quick-11	quickpacket, llc
rbc-4	reality bytes cafe
realmc	realm communications, inc.
ryanas	ryan associates
sacs-8	sfu academic computing services
sagnet	sagnet consulting
sc-9	stafford communications, inc.
sd-24	steelworkers dental
sdn5bv	school district no. 54 (bulkley valley)
sedsys	sed systems incorporated
sfgtec	sfg technologies inc.
sgl-88	servidores grupoweb ltda
sickba	sickbay
sidsd	sandwell inc., datap systems division
sil-5	sogi informatique ltee
snci	stormcloud network (canada) incorprated
softc-7	softchoice
softwa-24	software
solito	soliton associates
sos-3	rms information systems consulting
spheri-8	spherion corporation
spl-7	scarborough public library
sqau	softquad, inc.
sr-627	matbrancher
ss-1547	serverhub seattle
ssc-299-z	shared services canada
stormn	stormnet
suite	suiteworks
sumnet	sumnet, llc
sunli-1	sunlife assurance company of canada
shorel	shoreline communications, inc.
silici	silicium comminications inc.
sjhhc	st. joseph's hospital & health centre
slcl-21	slave lake communications ltd.
slrimsh	the samuel lunenfeld research institute of mount sinai hospital
